arm_id,arm_name,time,survival,survival_scale,pixel_x,pixel_y,source_image,extraction_method,confidence
1,Arm 1,0.0,1.0,0-1,101.0,63.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,0.325,1.0,0-1,104.0,63.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,0.325,0.469,0-1,104.0,251.5,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,0.433,0.469,0-1,105.0,251.5,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,0.433,0.0042,0-1,105.0,416.5,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,1.949,0.0028,0-1,119.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,3.466,0.0028,0-1,133.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,4.982,0.0028,0-1,147.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,6.498,0.0028,0-1,161.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,8.014,0.0028,0-1,175.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,9.531,0.0028,0-1,189.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,11.047,0.0028,0-1,203.0,383.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,12.563,0.0028,0-1,217.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,14.079,0.0028,0-1,231.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,15.596,0.0028,0-1,245.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,17.112,0.0028,0-1,259.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,18.628,0.0028,0-1,273.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,20.144,0.0028,0-1,287.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,21.661,0.0028,0-1,301.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,23.177,0.0028,0-1,315.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,24.693,0.0028,0-1,329.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,26.209,0.0028,0-1,343.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,27.726,0.0028,0-1,357.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,29.242,0.0028,0-1,371.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,30.758,0.0028,0-1,385.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,32.274,0.0028,0-1,399.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,33.791,0.0028,0-1,413.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,35.307,0.0028,0-1,427.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,36.823,0.0028,0-1,441.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,38.339,0.0028,0-1,455.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,39.856,0.0028,0-1,469.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,41.372,0.0028,0-1,483.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,42.888,0.0028,0-1,497.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,44.404,0.0028,0-1,511.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,45.921,0.0028,0-1,525.0,366.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,47.437,0.0028,0-1,539.0,368.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,48.953,0.0028,0-1,553.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,50.469,0.0028,0-1,567.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,51.986,0.0028,0-1,581.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,53.502,0.0028,0-1,595.0,325.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,55.018,0.0028,0-1,609.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,56.534,0.0028,0-1,623.0,256.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,58.051,0.0028,0-1,637.0,257.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,59.567,0.0028,0-1,651.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
1,Arm 1,60.0,0.0028,0-1,655.0,417.0,km1.png,auto_color_segmentation,0.9963898916967509
2,Arm 2,0.0,1.0,0-1,101.0,63.0,km1.png,auto_color_segmentation,0.9945848375451264
